driver_id,date,rides_completed,earnings,hours_worked,earnings_hour
1,2021-06-16,14.0,378.0,6.1899999999999995,61.06623586429726
1,2021-06-17,20.0,608.0,8.07,75.34076827757124
1,2021-06-18,19.0,521.0,8.67,60.09227220299885
1,2021-06-19,13.0,350.0,7.48,46.79144385026738
1,2021-06-20,31.0,920.0,11.24,81.85053380782918
1,2021-06-21,27.0,829.0,9.93,83.48439073514602
1,2021-06-22,0.0,0.0,0.0,0.0
1,2021-06-23,5.0,114.0,2.9699999999999998,38.38383838383839
1,2021-06-24,16.0,463.0,8.48,54.59905660377358
1,2021-06-25,26.0,783.0,11.3,69.29203539823008
1,2021-06-26,19.0,594.0,9.58,62.004175365344466
1,2021-06-27,31.0,918.0,7.9,116.20253164556962
1,2021-06-28,9.0,300.0,6.21,48.309178743961354
2,2021-06-16,13.0,420.0,5.76,72.91666666666667
2,2021-06-17,21.0,655.0,10.47,62.55969436485196
2,2021-06-18,16.0,561.0,8.6,65.23255813953489
2,2021-06-19,17.0,487.0,6.72,72.4702380952381
2,2021-06-20,26.0,857.0,11.69,73.31052181351583
2,2021-06-21,33.0,1054.0,11.94,88.2747068676717
2,2021-06-22,15.0,476.0,8.24,57.76699029126213
2,2021-06-23,17.0,546.0,6.99,78.11158798283262
2,2021-06-24,19.0,589.0,7.1899999999999995,81.91933240611962
2,2021-06-25,20.0,652.0,7.84,83.16326530612245
2,2021-06-26,31.0,970.0,12.76,76.01880877742947
2,2021-06-27,38.0,1254.0,15.22,82.3915900131406
2,2021-06-28,19.0,581.0,7.390000000000001,78.61975642760487
3,2021-06-16,0.0,0.0,2.2,0.0
3,2021-06-17,19.0,553.0,11.63,47.54944110060189
3,2021-06-18,7.0,255.0,6.46,39.473684210526315
3,2021-06-19,3.0,101.0,11.63,8.684436801375751
3,2021-06-20,4.0,138.0,4.17,33.093525179856115
3,2021-06-21,3.0,86.0,6.92,12.427745664739884
3,2021-06-22,11.0,333.0,11.19,29.758713136729224
3,2021-06-23,11.0,336.0,13.6,24.705882352941178
3,2021-06-24,11.0,301.0,9.88,30.46558704453441
3,2021-06-25,19.0,621.0,15.99,38.83677298311444
3,2021-06-26,25.0,752.0,15.96,47.11779448621554
3,2021-06-27,10.0,267.0,6.86,38.921282798833815
3,2021-06-28,17.0,542.0,13.76,39.389534883720934
4,2021-06-16,30.0,999.0,14.16,70.55084745762711
4,2021-06-17,28.0,894.0,14.1,63.40425531914894
4,2021-06-18,8.0,268.0,7.08,37.85310734463277
4,2021-06-21,27.0,883.0,12.15,72.67489711934157
4,2021-06-22,27.0,841.0,13.36,62.94910179640719
4,2021-06-23,28.0,940.0,14.09,66.7139815471966
4,2021-06-24,34.0,1107.0,13.29,83.2957110609481
4,2021-06-25,17.0,601.0,11.01,54.58673932788374
4,2021-06-28,29.0,954.0,12.36,77.18446601941748
5,2021-06-16,19.0,584.0,9.09,64.24642464246425
5,2021-06-17,27.0,820.0,13.459999999999999,60.92124814264488
5,2021-06-18,20.0,638.0,9.3,68.6021505376344
5,2021-06-19,29.0,936.0,15.59,60.038486209108406
5,2021-06-20,26.0,817.0,14.16,57.69774011299435
5,2021-06-21,25.0,779.0,9.46,82.34672304439745
5,2021-06-22,13.0,392.0,6.2299999999999995,62.921348314606746
5,2021-06-23,27.0,857.0,12.01,71.35720233139051
5,2021-06-24,22.0,731.0,10.379999999999999,70.42389210019269
5,2021-06-25,29.0,937.0,13.74,68.19505094614264
5,2021-06-26,32.0,1039.0,12.68,81.94006309148266
5,2021-06-27,38.0,1131.0,14.3,79.0909090909091
5,2021-06-28,26.0,831.0,10.61,78.32233741753063
6,2021-06-16,16.0,523.0,10.26,50.97465886939571
6,2021-06-17,18.0,551.0,11.13,49.505840071877806
6,2021-06-18,24.0,687.0,12.25,56.08163265306123
6,2021-06-19,17.0,563.0,14.35,39.23344947735192
6,2021-06-20,22.0,702.0,11.19,62.734584450402146
6,2021-06-21,15.0,477.0,6.34,75.23659305993691
6,2021-06-22,20.0,578.0,11.29,51.195748449955715
6,2021-06-23,13.0,368.0,4.88,75.40983606557377
6,2021-06-24,17.0,542.0,10.82,50.09242144177449
6,2021-06-25,26.0,761.0,15.87,47.95211090107121
6,2021-06-26,18.0,578.0,12.459999999999999,46.388443017656506
6,2021-06-27,23.0,730.0,11.94,61.139028475711896
6,2021-06-28,18.0,543.0,11.87,45.74557708508846
7,2021-06-16,27.0,790.0,12.44,63.50482315112541
7,2021-06-17,28.0,858.0,10.63,80.71495766698024
7,2021-06-18,22.0,640.0,11.06,57.866184448462924
7,2021-06-19,15.0,425.0,8.28,51.32850241545894
7,2021-06-21,27.0,813.0,12.72,63.91509433962264
7,2021-06-22,17.0,477.0,10.15,46.995073891625616
7,2021-06-23,21.0,659.0,9.73,67.72867420349435
7,2021-06-24,21.0,645.0,11.17,57.74395702775291
7,2021-06-25,22.0,620.0,10.69,57.99812909260992
7,2021-06-26,17.0,492.0,8.19,60.07326007326008
7,2021-06-28,21.0,638.0,11.48,55.57491289198606
8,2021-06-16,8.0,250.0,7.81,32.010243277848915
8,2021-06-17,22.0,680.0,11.94,56.95142378559464
8,2021-06-18,24.0,739.0,11.35,65.1101321585903
8,2021-06-19,20.0,556.0,8.84,62.89592760180996
8,2021-06-21,30.0,897.0,14.29,62.77116864940518
8,2021-06-22,27.0,795.0,12.25,64.89795918367346
8,2021-06-23,22.0,680.0,12.2,55.73770491803279
8,2021-06-24,27.0,767.0,13.19,58.15011372251706
8,2021-06-26,29.0,882.0,11.84,74.49324324324324
8,2021-06-28,32.0,978.0,13.1,74.65648854961832
9,2021-06-16,30.0,956.0,12.39,77.1589991928975
9,2021-06-17,19.0,647.0,12.03,53.78221113881962
9,2021-06-18,11.0,308.0,8.67,35.52479815455594
9,2021-06-20,10.0,336.0,4.45,75.50561797752809
9,2021-06-21,24.0,790.0,9.459999999999999,83.50951374207189
9,2021-06-22,21.0,693.0,12.62,54.91283676703645
9,2021-06-23,24.0,778.0,12.53,62.090981644054274
9,2021-06-24,26.0,806.0,12.95,62.239382239382245
9,2021-06-25,16.0,513.0,10.08,50.892857142857146
9,2021-06-26,19.0,621.0,9.22,67.35357917570498
9,2021-06-27,10.0,329.0,4.31,76.33410672853829
9,2021-06-28,26.0,804.0,12.53,64.1660015961692
10,2021-06-16,18.0,581.0,6.01,96.67221297836939
10,2021-06-17,19.0,560.0,8.12,68.96551724137932
10,2021-06-18,21.0,668.0,10.08,66.26984126984127
10,2021-06-19,26.0,760.0,12.58,60.41335453100159
10,2021-06-20,28.0,884.0,10.66,82.92682926829268
10,2021-06-21,33.0,1060.0,12.64,83.86075949367088
10,2021-06-22,30.0,927.0,10.95,84.65753424657535
10,2021-06-23,34.0,1095.0,14.19,77.16701902748414
10,2021-06-24,37.0,1131.0,13.66,82.79648609077599
10,2021-06-25,28.0,884.0,10.82,81.70055452865064
10,2021-06-26,3.0,69.0,0.91,75.82417582417582
10,2021-06-27,34.0,1077.0,10.75,100.18604651162791
10,2021-06-28,31.0,935.0,11.14,83.93177737881507
11,2021-06-16,15.0,520.0,7.06,73.6543909348442
11,2021-06-17,17.0,541.0,9.33,57.98499464094319
11,2021-06-18,15.0,522.0,8.96,58.25892857142857
11,2021-06-19,7.0,219.0,5.17,42.359767891682786
11,2021-06-20,5.0,149.0,2.5,59.6
11,2021-06-21,11.0,301.0,4.35,69.19540229885058
11,2021-06-22,13.0,440.0,8.19,53.724053724053725
11,2021-06-23,12.0,378.0,7.72,48.96373056994819
11,2021-06-24,17.0,514.0,7.14,71.98879551820728
11,2021-06-25,2.0,63.0,2.1,30.0
11,2021-06-26,0.0,0.0,0.0,0.0
11,2021-06-27,26.0,813.0,9.44,86.12288135593221
11,2021-06-28,29.0,905.0,10.78,83.95176252319109
12,2021-06-16,33.0,948.0,11.81,80.27095681625741
12,2021-06-17,31.0,932.0,11.98,77.79632721202003
12,2021-06-18,30.0,991.0,11.62,85.28399311531842
12,2021-06-19,36.0,1124.0,12.07,93.12344656172328
12,2021-06-20,32.0,972.0,11.95,81.33891213389121
12,2021-06-21,37.0,1116.0,11.959999999999999,93.31103678929766
12,2021-06-22,15.0,448.0,5.42,82.65682656826569
12,2021-06-23,29.0,929.0,11.74,79.13117546848382
12,2021-06-24,27.0,816.0,11.63,70.16337059329321
12,2021-06-25,37.0,1105.0,11.89,92.93523969722456
12,2021-06-26,36.0,1122.0,11.89,94.3650126156434
12,2021-06-27,38.0,1054.0,11.96,88.12709030100334
12,2021-06-28,34.0,1020.0,11.28,90.42553191489363
13,2021-06-16,14.0,462.0,13.55,34.09594095940959
13,2021-06-17,16.0,489.0,14.05,34.80427046263345
13,2021-06-18,10.0,311.0,8.45,36.80473372781066
13,2021-06-19,5.0,160.0,7.54,21.220159151193634
13,2021-06-22,8.0,243.0,11.38,21.353251318101933
13,2021-06-23,9.0,296.0,13.29,22.272385252069228
13,2021-06-24,4.0,134.0,6.85,19.56204379562044
13,2021-06-25,12.0,338.0,12.49,27.061649319455565
13,2021-06-26,17.0,553.0,12.47,44.34643143544507
13,2021-06-27,11.0,327.0,8.17,40.024479804161565
13,2021-06-28,2.0,57.0,2.69,21.189591078066915
14,2021-06-16,16.0,505.0,11.13,45.37286612758311
14,2021-06-17,20.0,593.0,11.48,51.65505226480836
14,2021-06-18,9.0,296.0,10.93,27.081427264409882
14,2021-06-19,6.0,216.0,10.18,21.218074656188605
14,2021-06-20,15.0,480.0,10.46,45.88910133843212
14,2021-06-21,30.0,930.0,10.799999999999999,86.11111111111111
14,2021-06-22,24.0,740.0,11.01,67.21162579473206
14,2021-06-23,18.0,557.0,10.96,50.82116788321167
14,2021-06-24,22.0,705.0,11.1,63.513513513513516
14,2021-06-25,27.0,810.0,9.75,83.07692307692308
14,2021-06-26,25.0,750.0,10.21,73.45739471106758
14,2021-06-27,23.0,669.0,10.959999999999999,61.040145985401466
14,2021-06-28,22.0,634.0,9.44,67.16101694915254
15,2021-06-17,17.0,541.0,12.09,44.747725392886686
15,2021-06-18,20.0,620.0,12.63,49.089469517022955
15,2021-06-19,21.0,645.0,11.89,54.24726661059714
15,2021-06-20,23.0,728.0,12.91,56.390395042602634
15,2021-06-21,21.0,631.0,8.69,72.61219792865363
15,2021-06-22,22.0,719.0,11.86,60.6239460370995
15,2021-06-24,22.0,678.0,10.99,61.69244767970883
15,2021-06-25,12.0,415.0,8.42,49.287410926365794
15,2021-06-26,36.0,1056.0,12.38,85.29886914378028
15,2021-06-27,17.0,558.0,9.33,59.80707395498392
15,2021-06-28,15.0,444.0,8.49,52.29681978798587
16,2021-06-16,24.0,787.0,8.82,89.22902494331065
16,2021-06-17,25.0,779.0,10.15,76.7487684729064
16,2021-06-18,24.0,766.0,10.58,72.4007561436673
16,2021-06-19,24.0,742.0,12.4,59.83870967741935
16,2021-06-20,46.0,1372.0,13.4,102.38805970149254
16,2021-06-21,36.0,1099.0,10.33,106.3891577928364
16,2021-06-23,38.0,1123.0,10.49,107.05433746425166
16,2021-06-24,31.0,982.0,10.35,94.8792270531401
16,2021-06-25,29.0,868.0,10.51,82.58801141769743
16,2021-06-26,53.0,1613.0,13.45,119.92565055762083
16,2021-06-27,62.0,1930.0,13.56,142.33038348082596
16,2021-06-28,36.0,1154.0,10.08,114.48412698412699
17,2021-06-16,26.0,822.0,12.24,67.15686274509804
17,2021-06-17,30.0,955.0,11.78,81.06960950764007
17,2021-06-18,43.0,1325.0,13.8,96.01449275362319
17,2021-06-19,30.0,907.0,12.65,71.699604743083
17,2021-06-20,41.0,1246.0,13.31,93.61382419233658
17,2021-06-21,45.0,1370.0,12.9,106.2015503875969
17,2021-06-22,22.0,713.0,10.92,65.29304029304029
17,2021-06-23,28.0,902.0,12.45,72.44979919678715
17,2021-06-24,36.0,1070.0,14.45,74.0484429065744
17,2021-06-25,34.0,1109.0,13.19,84.07884761182714
17,2021-06-26,44.0,1335.0,13.9,96.0431654676259
17,2021-06-27,52.0,1595.0,13.58,117.45213549337261
17,2021-06-28,29.0,918.0,10.97,83.68277119416591
18,2021-06-16,19.0,648.0,5.68,114.08450704225352
18,2021-06-17,12.0,394.0,8.54,46.13583138173303
